neighborhood,homicide,autotheft,arson,larceny,robbery,total,burglary,aggassault
Armatage,0,7,0,35,5,99,44,5
Audubon Park,0,17,2,65,7,157,59,7
Bancroft,0,17,0,39,7,127,50,13
Beltrami,0,6,1,31,0,60,12,6
Bottineau,0,10,3,67,16,141,33,8
Bryant,0,14,1,33,4,104,41,9
Bryn - Mawr,0,10,0,38,4,85,31,1
Camden Industrial,0,1,0,3,2,10,1,3
CARAG,0,21,0,127,10,213,44,8
Cedar - Isles - Dean,0,6,0,71,3,92,9,1
Cedar Riverside,0,26,2,235,23,352,25,33
Central,1,67,0,168,49,480,120,62
Cleveland,2,26,1,50,20,188,60,22
Columbia Park,0,4,0,35,3,62,17,3
Como,0,35,1,156,4,329,126,5
Cooper,0,16,2,69,3,140,46,4
Corcoran,0,29,5,136,23,272,50,24
Diamond Lake,0,11,2,69,5,139,46,5
Downtown East,0,3,0,91,4,112,5,9
Downtown West,2,36,3,1763,109,2147,65,146
East Harriet,0,12,0,58,1,94,20,3
East Isles,0,13,0,128,9,173,16,5
East Phillips,1,35,6,95,36,289,39,64
ECCO,0,10,0,132,9,211,53,4
Elliot Park,0,28,0,276,28,439,45,50
Ericsson,0,11,1,62,6,146,58,8
Field,0,10,0,60,7,111,30,2
Folwell,2,38,8,116,53,432,132,73
Fulton,0,6,0,53,1,99,39,0
Hale,0,6,0,32,1,60,19,2
Harrison,0,19,2,85,10,205,55,28
Hawthorne,3,57,8,251,74,567,91,70
Hiawatha,0,25,1,188,7,303,78,3
Holland,1,25,2,113,39,279,69,22
Howe,0,33,4,110,10,273,103,11
Humboldt Industrial Area,0,0,0,9,1,17,6,1
Jordan,4,69,7,180,80,617,175,90
Keewaydin,0,16,0,70,6,174,73,5
Kenny,0,6,0,27,1,60,25,0
Kenwood,0,2,0,24,0,36,10,0
King Field,0,18,0,95,13,220,80,13
Lind - Bohanon,1,15,3,79,16,245,92,35
Linden Hills,0,9,0,95,3,139,30,1
Logan Park,0,8,0,41,11,95,23,10
Longfellow,0,36,1,366,38,554,80,26
Loring Park,0,17,1,267,31,411,58,28
Lowry Hill,0,9,0,110,3,156,31,2
Lowry Hill East,1,25,1,277,17,375,36,15
Lyndale,0,47,1,298,49,484,51,29
Lynnhurst,0,11,0,58,5,112,34,3
Marcy Holmes,1,61,3,348,22,623,155,23
Marshall Terrace,0,11,1,30,4,71,16,7
McKinley,0,14,6,62,24,230,93,28
Mid - City Industrial,0,6,0,47,2,62,6,1
Midtown Phillips,0,42,2,142,61,346,61,31
Minnehaha,0,16,0,111,2,200,69,2
Morris Park,0,15,0,45,2,117,51,4
Near - North,2,50,7,140,52,436,101,69
Nicollet Island - East Bank,0,6,0,80,3,113,21,2
North Loop,0,11,0,218,13,285,31,9
Northeast Park,0,8,0,114,2,140,14,1
Northrop,0,14,0,52,9,153,71,6
Page,0,3,0,18,0,38,16,1
Phillips West,1,30,0,117,40,297,67,35
Powderhorn Park,2,52,5,146,53,375,78,32
Prospect Park - East River,0,32,0,202,12,320,65,2
Regina,0,7,1,23,3,85,44,4
Seward,3,48,2,166,35,373,91,19
Sheridan,0,19,0,61,8,146,29,24
Shingle Creek,0,12,0,27,3,94,45,6
St. Anthony East,0,11,0,36,6,85,22,8
St. Anthony West,0,8,0,41,3,71,14,4
Standish,0,19,2,88,18,236,93,11
Stevens Square - Loring Heights,0,26,1,121,23,242,37,25
Sumner - Glenwood,0,18,0,30,7,81,15,9
Tangletown,0,6,0,74,1,128,40,7
University of Minnesota,0,4,0,79,3,105,10,1
Ventura Village,1,37,2,133,84,377,47,58
Victory,1,18,0,66,7,210,103,11
Waite Park,0,10,0,78,1,153,58,6
Webber - Camden,4,30,1,106,25,336,117,47
Wenonah,0,19,0,73,8,201,78,18
West Calhoun,1,5,0,70,1,92,13,2
Whittier,0,97,2,385,88,805,144,78
Willard - Hay,4,61,14,226,57,655,183,102
Windom,0,15,0,104,9,194,36,19
Windom Park,0,18,0,67,10,182,74,11
