Neighborhood,Community,2010 Population,2000 Population
Armatage,Southwest,4895,4759
Audubon Park,Northeast,4962,5256
Bancroft,Powderhorn,3371,3606
Beltrami,Northeast,1248,1277
Bottineau,Northeast,1656,1254
Bryant,Powderhorn,2833,2789
Bryn - Mawr,Calhoun Isles,2651,2663
Camden Industrial,Camden, -   ,47
CARAG,Calhoun Isles,5647,5907
Cedar - Isles - Dean,Calhoun Isles,2925,2698
Cedar Riverside,University,8094,7545
Central,Powderhorn,8307,8150
Cleveland,Camden,3025,3440
Columbia Park,Northeast,1563,1834
Como,University,6288,5691
Cooper,Longfellow,3503,3448
Corcoran,Powderhorn,3942,4228
Diamond Lake,Nokomis,5480,5251
Downtown East,Central,1254,128
Downtown West,Central,5781,4581
East Harriet,Southwest,3604,3999
East Isles,Calhoun Isles,3169,3340
East Phillips,Phillips,4269,4147
ECCO,Calhoun Isles,2457,2545
Elliot Park,Central,6693,6476
Ericsson,Nokomis,3192,3149
Field,Nokomis,2366,2526
Folwell,Camden,5344,6331
Fulton,Southwest,5860,5566
Hale,Nokomis,3176,3196
Harrison,Near North,3211,4152
Hawthorne,Near North,4567,6333
Hiawatha,Longfellow,5461,5304
Holland,Northeast,4507,4381
Howe,Longfellow,6608,6878
Humboldt Industrial,Camden, -   ,0
Jordan,Near North,7360,9149
Keewaydin,Nokomis,3096,3178
Kenny,Southwest,3523,3493
Kenwood,Calhoun Isles,1414,1500
King Field,Southwest,7473,7816
Lind - Bohanon,Camden,4569,4401
Linden Hills,Southwest,7564,7370
Logan Park,Northeast,2179,2222
Longfellow,Longfellow,4895,4972
Loring Park,Central,7873,7501
Lowry Hill,Calhoun Isles,3760,3999
Lowry Hill East,Calhoun Isles,6150,5912
Lyndale,Powderhorn,7419,7690
Lynnhurst,Southwest,5826,5613
Marcy Holmes,University,10015,9009
Marshall Terrace,Northeast,1381,1342
McKinley,Camden,3132,3658
Mid - City Industrial,University,201,15
Midtown Phillips,Phillips,4782,4118
Minnehaha,Nokomis,3980,4058
Morris Park,Nokomis,2819,2984
Near - North,Near North,5968,6921
Nicollet Island - East Bank,University,1309,828
North Loop,Central,4291,1515
Northeast Park,Northeast,672,882
Northrop,Nokomis,4369,4335
Page,Nokomis,1730,1682
Phillips West,Phillips,4727,4771
Powderhorn Park,Powderhorn,8655,8957
Prospect Park - East River Road,University,7457,6326
Regina,Nokomis,2292,2489
Seward,Longfellow,7308,7174
Sheridan,Northeast,2884,2703
Shingle Creek,Camden,3031,3170
St. Anthony East,Northeast,2038,2105
St. Anthony West,Northeast,2243,2666
Standish,Powderhorn,6527,6632
Steven's Square - Loring Heights,Central,3833,3948
Sumner - Glenwood,Near North,1475,144
Tangletown,Southwest,4351,4263
University of Minnesota,University,5421,4026
Ventura Village,Phillips,6537,6769
Victory,Camden,4580,4975
Waite Park,Northeast,5244,5205
Webber - Camden,Camden,5097,5676
Wenonah,Nokomis,4521,4422
West Calhoun,Calhoun Isles,1740,1865
Whittier,Powderhorn,13689,15247
Willard - Hay,Near North,8611,9277
Windom,Southwest,4980,4984
Windom Park,Northeast,5678,5786
City of Minneapolis,X,382578,382618
